step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,4179,4189,74,208,469,143,99,69,570
1000,4177,4188,76,206,470,142,101,69,571
2000,4179,4188,68,209,472,141,106,66,571
3000,4178,4192,67,209,473,140,107,65,569
4000,4176,4194,68,209,474,140,105,65,569
5000,4177,4193,62,215,472,140,107,64,570
6000,4176,4194,59,221,467,143,106,61,573
7000,4179,4196,60,220,468,141,107,59,570
8000,4178,4195,56,223,469,142,104,61,572
9000,4177,4196,61,213,473,141,107,60,572
10000,4179,4195,56,220,469,145,104,61,571
