step,particle_id,from,to
21,8834,FUN_3,FUN_2
35,2025,CUBE_R,RET
41,6163,FUN_3,FUN_4
69,6873,RET,CUBE_R
106,8937,CUBE_R,FUN_6
126,5629,FUN_1,FUN_2
135,2184,FUN_6,CUBE_R
135,3705,FUN_1,FUN_2
290,9869,FUN_2,FUN_3
317,8877,CUBE_R,RET
325,6944,FUN_2,FUN_1
351,2004,FUN_2,FUN_3
359,2782,FUN_1,FUN_2
459,7742,CUBE_L,FUN_1
506,3144,FUN_2,FUN_3
546,8089,CUBE_R,FUN_6
559,1805,FUN_5,FUN_6
568,9282,FUN_6,CUBE_R
599,3598,FUN_6,FUN_5
603,1566,FUN_3,FUN_2
612,6264,FUN_4,FUN_3
623,6180,FUN_2,FUN_3
635,5319,RET,CUBE_R
672,5694,FUN_3,FUN_4
677,5910,FUN_3,FUN_2
698,8823,FUN_1,FUN_2
712,9923,FUN_4,FUN_5
755,50,FUN_4,FUN_5
759,1688,CUBE_R,RET
786,5108,FUN_2,FUN_1
786,9869,FUN_3,FUN_2
789,5065,FUN_2,FUN_1
879,7622,CUBE_L,FUN_1
898,7101,FUN_2,FUN_3
941,8823,FUN_2,FUN_1
981,8834,FUN_2,FUN_3
1008,5035,FUN_3,FUN_2
1051,6690,FUN_1,FUN_2
1053,7622,FUN_1,CUBE_L
1058,5910,FUN_2,FUN_3
1063,560,FUN_4,FUN_5
1066,4542,FUN_2,FUN_3
1075,7912,FUN_1,FUN_2
1088,5319,CUBE_R,RET
1103,8699,FUN_1,FUN_2
1161,2003,FUN_6,FUN_5
1237,6810,FUN_2,FUN_3
1237,7716,RET,CUBE_R
1253,467,FUN_4,FUN_5
1270,5694,FUN_4,FUN_3
1288,7760,FUN_6,FUN_5
1320,2439,FUN_3,FUN_4
1323,8823,FUN_1,FUN_2
1387,5675,FUN_1,FUN_2
1401,425,FUN_4,FUN_5
1462,5860,FUN_5,FUN_4
1498,1805,FUN_6,FUN_5
1516,8380,FUN_1,FUN_2
1525,8214,FUN_2,FUN_3
1567,7742,FUN_1,CUBE_L
1615,5035,FUN_2,FUN_3
1624,9247,FUN_6,CUBE_R
1653,8378,FUN_4,FUN_5
1660,2444,RET,CUBE_R
1710,7891,FUN_3,FUN_4
1753,5448,FUN_2,FUN_3
1826,1841,CUBE_L,RET
1831,503,FUN_3,FUN_2
1859,4735,CUBE_R,FUN_6
1932,2660,FUN_3,FUN_2
1943,3479,FUN_5,FUN_4
1962,5629,FUN_2,FUN_1
1966,8765,FUN_2,FUN_1
1988,1238,CUBE_R,RET
1990,5629,FUN_1,FUN_2
1992,9877,RET,CUBE_L
1999,1202,FUN_1,FUN_2
2048,3615,FUN_4,FUN_3
2111,8877,RET,CUBE_R
2147,560,FUN_5,FUN_4
2172,8131,FUN_3,FUN_2
2213,1771,FUN_2,FUN_3
2218,7547,FUN_6,CUBE_R
2219,5694,FUN_3,FUN_4
2229,2849,FUN_6,CUBE_R
2273,7167,FUN_4,FUN_5
2361,7742,CUBE_L,FUN_1
2365,5660,FUN_2,FUN_1
2436,4505,FUN_5,FUN_4
2449,4095,CUBE_L,RET
2491,4481,FUN_5,FUN_4
2514,5123,FUN_1,FUN_2
2553,534,FUN_1,FUN_2
2647,503,FUN_2,FUN_3
2665,2025,RET,CUBE_R
2687,879,FUN_5,FUN_6
2749,5123,FUN_2,FUN_1
2781,4505,FUN_4,FUN_5
2795,9765,FUN_4,FUN_5
2881,5311,FUN_1,CUBE_L
2899,5358,RET,CUBE_R
2926,560,FUN_4,FUN_5
2931,5358,CUBE_R,RET
2933,5358,RET,CUBE_R
2938,879,FUN_6,FUN_5
2939,5358,CUBE_R,RET
2950,5358,RET,CUBE_R
2958,4292,FUN_1,FUN_2
2967,5358,CUBE_R,RET
2968,8877,CUBE_R,RET
2973,5358,RET,CUBE_R
2978,5358,CUBE_R,RET
2983,4976,CUBE_R,FUN_6
2986,5358,RET,CUBE_R
3001,6738,FUN_2,FUN_3
3009,7912,FUN_2,FUN_1
3034,4459,FUN_6,CUBE_R
3041,5123,FUN_1,FUN_2
3061,9761,FUN_3,FUN_2
3072,3501,FUN_4,FUN_3
3074,9196,FUN_3,FUN_4
3075,7167,FUN_5,FUN_4
3084,9869,FUN_2,FUN_3
3155,4095,RET,CUBE_L
3180,1590,FUN_3,FUN_2
3201,8877,RET,CUBE_R
3205,5140,FUN_2,FUN_3
3228,7167,FUN_4,FUN_5
3245,4095,CUBE_L,RET
3249,4505,FUN_5,FUN_4
3293,9750,FUN_2,FUN_1
3302,1688,RET,CUBE_R
3320,8131,FUN_2,FUN_3
3329,6123,CUBE_L,FUN_1
3343,4095,RET,CUBE_L
3355,9994,CUBE_L,RET
3366,4095,CUBE_L,RET
3443,9265,FUN_2,FUN_3
3467,3495,FUN_3,FUN_2
3508,2247,FUN_5,FUN_6
3517,9761,FUN_2,FUN_3
3535,4095,RET,CUBE_L
3537,6163,FUN_4,FUN_3
3558,4004,CUBE_L,RET
3614,9765,FUN_5,FUN_4
3729,5065,FUN_1,FUN_2
3751,6738,FUN_3,FUN_2
3773,3629,FUN_2,FUN_3
3838,9869,FUN_3,FUN_2
3846,4067,FUN_3,FUN_2
3905,9265,FUN_3,FUN_2
3945,2569,RET,CUBE_L
3956,9112,FUN_4,FUN_5
3959,4570,CUBE_L,RET
4004,2398,FUN_2,FUN_3
4048,7101,FUN_3,FUN_2
4083,5062,FUN_6,FUN_5
4128,6123,FUN_1,CUBE_L
4141,5420,FUN_1,FUN_2
4193,1491,FUN_3,FUN_4
4235,1491,FUN_4,FUN_3
4247,4505,FUN_4,FUN_5
4260,5108,FUN_1,FUN_2
4313,9265,FUN_2,FUN_3
4352,7371,FUN_1,FUN_2
4356,4408,FUN_3,FUN_2
4375,8089,FUN_6,CUBE_R
4429,4927,FUN_3,FUN_4
4469,6993,FUN_3,FUN_2
4488,1246,FUN_3,FUN_2
4519,3118,FUN_1,FUN_2
4535,456,RET,CUBE_R
4541,8089,CUBE_R,FUN_6
4583,8877,CUBE_R,RET
4609,1808,FUN_4,FUN_3
4610,6163,FUN_3,FUN_4
4619,879,FUN_5,FUN_6
4665,2066,FUN_6,FUN_5
4688,9001,CUBE_L,RET
4767,9877,CUBE_L,RET
4810,9001,RET,CUBE_L
4834,456,CUBE_R,RET
4844,2099,RET,CUBE_L
4846,7499,FUN_1,FUN_2
4922,9869,FUN_2,FUN_3
4930,456,RET,CUBE_R
4933,7267,FUN_1,FUN_2
5068,9571,FUN_3,FUN_2
5072,8521,FUN_3,FUN_2
5132,9994,RET,CUBE_L
5156,573,CUBE_L,RET
5161,4966,FUN_3,FUN_4
5218,3583,FUN_2,FUN_1
5228,4958,CUBE_L,RET
5240,5449,FUN_4,FUN_3
5251,6164,FUN_1,FUN_2
5264,6447,FUN_3,FUN_2
5268,2394,FUN_5,FUN_4
5272,2247,FUN_6,FUN_5
5288,2578,FUN_2,FUN_3
5299,8078,FUN_3,FUN_2
5305,635,FUN_3,FUN_2
5321,1595,FUN_6,FUN_5
5326,2670,CUBE_L,RET
5361,9756,FUN_5,FUN_4
5377,4759,CUBE_L,RET
5463,8214,FUN_3,FUN_2
5465,5456,FUN_3,FUN_2
5473,1092,FUN_2,FUN_1
5474,6703,FUN_1,CUBE_L
5590,8699,FUN_2,FUN_1
5615,7170,FUN_1,CUBE_L
5629,1373,FUN_1,FUN_2
5637,6085,FUN_2,FUN_1
5665,6944,FUN_1,FUN_2
5682,4314,FUN_1,FUN_2
5832,7912,FUN_1,FUN_2
5932,9122,FUN_2,FUN_1
5967,3210,FUN_5,FUN_4
5971,506,FUN_6,CUBE_R
6000,3495,FUN_2,FUN_3
6005,7215,FUN_3,FUN_2
6014,8701,FUN_4,FUN_5
6046,4976,FUN_6,CUBE_R
6066,7474,FUN_1,FUN_2
6092,3210,FUN_4,FUN_5
6093,4796,FUN_2,FUN_1
6104,281,FUN_2,FUN_3
6122,5108,FUN_2,FUN_1
6129,6387,RET,CUBE_R
6134,1311,FUN_5,FUN_4
6166,8542,FUN_4,FUN_5
6181,5694,FUN_4,FUN_3
6185,3210,FUN_5,FUN_4
6197,456,CUBE_R,RET
6234,8378,FUN_5,FUN_4
6246,1960,CUBE_L,RET
6324,8536,RET,CUBE_L
6409,9265,FUN_3,FUN_2
6428,7403,RET,CUBE_L
6445,8102,FUN_3,FUN_2
6480,4505,FUN_5,FUN_4
6495,8089,FUN_6,CUBE_R
6513,3495,FUN_3,FUN_2
6563,5456,FUN_2,FUN_3
6567,4583,FUN_2,FUN_3
6618,8419,FUN_2,FUN_1
6630,8992,FUN_4,FUN_5
6631,4411,FUN_2,FUN_3
6631,5694,FUN_3,FUN_4
6650,4277,CUBE_R,FUN_6
6715,3210,FUN_4,FUN_5
6733,4735,FUN_6,CUBE_R
6754,2364,FUN_2,FUN_3
6764,4927,FUN_4,FUN_3
6765,6085,FUN_1,FUN_2
6864,8541,CUBE_R,RET
6885,573,RET,CUBE_L
6909,4067,FUN_2,FUN_3
6918,5395,RET,CUBE_L
6929,6043,FUN_5,FUN_4
