step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,4179,4189,74,208,469,143,99,69,570
1000,4177,4188,76,206,470,142,101,69,571
2000,4179,4188,68,209,472,141,106,66,571
3000,4178,4191,67,209,473,141,106,65,570
4000,4176,4194,68,209,474,140,105,65,569
5000,4177,4194,61,216,472,140,107,64,569
6000,4176,4195,59,221,467,143,106,61,572
7000,4179,4196,60,220,468,142,106,59,570
8000,4178,4195,56,223,468,144,103,61,572
9000,4177,4195,61,213,473,142,106,60,573
10000,4178,4196,56,220,469,145,104,61,571
