step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
1000,12553,12489,190,624,1465,442,291,187,1759
2000,12554,12494,195,621,1460,437,295,187,1757
3000,12553,12496,188,634,1454,440,296,182,1757
4000,12553,12496,183,634,1459,444,295,183,1753
5000,12547,12502,186,631,1462,441,295,181,1755
6000,12549,12499,185,633,1455,447,298,179,1755
7000,12551,12504,179,632,1460,444,298,179,1753
8000,12556,12504,177,636,1461,444,294,180,1748
9000,12553,12507,174,643,1452,452,289,182,1748
10000,12555,12505,175,645,1450,454,289,181,1746
11000,12553,12503,173,651,1445,454,290,182,1749
12000,12555,12502,170,651,1443,459,288,185,1747
13000,12550,12505,170,642,1447,462,290,184,1750
14000,12551,12505,173,648,1442,453,297,184,1747
15000,12553,12498,169,652,1441,454,302,183,1748
16000,12556,12500,174,648,1438,455,305,181,1743
17000,12556,12500,173,652,1434,456,303,182,1744
18000,12555,12495,169,656,1432,454,308,183,1748
19000,12557,12495,170,650,1441,449,305,183,1750
20000,12560,12495,172,646,1444,446,308,181,1748
