step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,4179,4189,74,208,469,143,99,69,570
1000,4178,4186,71,208,472,140,103,69,573
2000,4178,4189,68,212,470,140,106,65,572
3000,4177,4189,67,212,472,137,106,69,571
4000,4175,4192,67,214,468,136,108,67,573
5000,4173,4191,69,217,461,144,102,68,575
6000,4173,4187,65,216,466,145,100,68,580
7000,4174,4193,61,218,469,145,98,67,575
8000,4174,4192,66,217,466,145,99,68,573
9000,4174,4192,70,211,464,150,98,66,575
10000,4172,4191,72,209,467,150,97,66,576
