step,particle_id,from,to
42,2025,CUBE_R,RET
42,8834,FUN_3,FUN_2
67,5694,FUN_3,FUN_4
69,6873,RET,CUBE_R
97,8937,CUBE_R,FUN_6
109,6163,FUN_3,FUN_4
117,3144,FUN_2,FUN_3
148,8378,FUN_4,FUN_5
195,6163,FUN_4,FUN_3
243,2184,FUN_6,CUBE_R
245,3705,FUN_1,FUN_2
300,8877,CUBE_R,RET
301,3598,FUN_6,FUN_5
317,6944,FUN_2,FUN_1
348,7742,CUBE_L,FUN_1
364,9284,FUN_1,FUN_2
379,1874,CUBE_L,RET
427,9994,CUBE_L,RET
437,9282,FUN_6,CUBE_R
466,9869,FUN_2,FUN_3
483,8823,FUN_1,FUN_2
492,6180,FUN_2,FUN_3
584,1248,RET,CUBE_R
600,8089,CUBE_R,FUN_6
711,2133,FUN_4,FUN_5
732,1045,RET,CUBE_L
821,3615,FUN_4,FUN_3
827,50,FUN_4,FUN_5
829,8834,FUN_2,FUN_3
832,5169,CUBE_R,FUN_6
846,1248,CUBE_R,RET
869,7742,FUN_1,CUBE_L
905,7371,FUN_1,FUN_2
916,1238,CUBE_R,RET
1011,9869,FUN_3,FUN_2
1015,3530,FUN_2,FUN_3
1018,6264,FUN_4,FUN_3
1055,3705,FUN_2,FUN_1
1129,1771,FUN_2,FUN_3
1139,5675,FUN_1,FUN_2
1142,6180,FUN_3,FUN_2
1305,561,FUN_1,FUN_2
1333,987,FUN_2,FUN_1
1345,7390,FUN_1,FUN_2
1372,1566,FUN_3,FUN_2
1379,7788,FUN_3,FUN_2
1388,2133,FUN_5,FUN_4
1393,7499,FUN_1,FUN_2
1396,7267,FUN_1,FUN_2
1420,6810,FUN_2,FUN_3
1435,7167,FUN_4,FUN_5
1454,7499,FUN_2,FUN_1
1458,1008,FUN_1,FUN_2
1476,7912,FUN_1,FUN_2
1491,7622,CUBE_L,FUN_1
1532,2396,FUN_3,FUN_4
1537,6696,FUN_2,FUN_3
1554,1874,RET,CUBE_L
