step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
1000,12550,12485,197,620,1462,443,292,192,1759
2000,12552,12489,189,622,1460,450,291,190,1757
3000,12550,12494,186,627,1458,446,293,188,1758
4000,12554,12490,187,617,1462,443,297,192,1758
5000,12552,12489,191,613,1463,444,300,191,1757
6000,12550,12488,191,623,1450,442,307,191,1758
7000,12546,12487,200,614,1445,448,308,191,1761
8000,12547,12482,201,619,1437,449,311,197,1757
9000,12548,12481,208,616,1429,452,309,199,1758
10000,12542,12482,220,601,1434,456,306,203,1756
11000,12541,12483,229,593,1432,452,308,207,1755
12000,12541,12480,228,595,1431,448,310,211,1756
13000,12542,12479,238,590,1424,446,311,215,1755
14000,12537,12477,245,581,1426,450,305,219,1760
15000,12538,12477,250,581,1419,455,301,218,1761
16000,12538,12473,258,576,1415,456,302,221,1761
17000,12532,12472,264,574,1410,459,305,221,1763
18000,12532,12472,267,574,1395,468,306,225,1761
19000,12532,12464,264,590,1384,462,311,230,1763
20000,12530,12461,267,586,1379,468,308,232,1769
21000,12529,12460,267,588,1372,474,305,237,1768
22000,12528,12451,269,594,1364,477,304,241,1772
23000,12521,12449,269,597,1363,478,306,241,1776
24000,12518,12447,273,588,1374,477,304,240,1779
25000,12518,12441,280,580,1370,481,304,242,1784
26000,12514,12437,271,581,1379,479,305,243,1791
27000,12507,12435,267,593,1370,479,309,243,1797
28000,12500,12432,278,586,1370,480,308,245,1801
29000,12497,12428,278,588,1365,486,308,246,1804
30000,12498,12426,287,582,1362,485,309,250,1801
