step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
1000,12550,12485,197,620,1462,443,292,192,1759
2000,12552,12489,189,622,1460,450,291,190,1757
3000,12550,12494,186,627,1459,445,293,188,1758
4000,12555,12491,187,619,1462,441,300,189,1756
5000,12556,12492,191,618,1462,440,301,189,1751
6000,12556,12492,188,629,1449,442,306,188,1750
7000,12554,12493,194,616,1453,446,307,190,1747
8000,12556,12493,196,620,1449,443,312,193,1738
9000,12562,12497,194,628,1441,445,307,196,1730
10000,12556,12498,204,616,1445,448,308,194,1731
11000,12555,12500,209,611,1446,444,309,196,1730
12000,12552,12503,211,610,1448,440,312,195,1729
13000,12555,12501,211,613,1440,443,308,203,1726
14000,12555,12495,210,607,1446,447,302,206,1732
15000,12558,12494,210,612,1444,448,292,210,1732
16000,12558,12492,212,617,1435,449,293,216,1728
17000,12553,12490,222,605,1443,449,294,214,1730
18000,12551,12485,225,606,1436,452,289,222,1734
19000,12554,12483,222,621,1425,443,301,221,1730
20000,12554,12481,222,623,1417,449,301,222,1731
21000,12550,12480,222,622,1416,450,300,223,1737
22000,12550,12473,231,616,1413,454,298,225,1740
23000,12543,12469,227,621,1416,453,298,227,1746
24000,12542,12467,227,618,1418,458,300,220,1750
25000,12544,12462,225,612,1427,455,302,220,1753
26000,12537,12461,228,606,1433,456,299,218,1762
27000,12532,12459,232,601,1432,462,300,215,1767
28000,12525,12455,235,611,1424,463,302,216,1769
29000,12527,12455,239,608,1421,463,302,217,1768
30000,12526,12459,244,609,1422,453,306,217,1764
