step,particle_id,from,to
3,28736,FUN_2,FUN_3
16,16655,FUN_5,FUN_4
24,28819,FUN_4,FUN_5
37,11578,FUN_2,FUN_3
54,1874,CUBE_L,RET
72,23533,FUN_1,CUBE_L
75,26083,CUBE_R,FUN_6
104,6873,RET,CUBE_R
106,5694,FUN_3,FUN_4
106,6175,FUN_2,FUN_3
119,2133,FUN_4,FUN_5
119,6123,CUBE_L,FUN_1
121,18495,FUN_2,FUN_3
128,21105,FUN_4,FUN_5
136,8378,FUN_4,FUN_5
137,13527,FUN_4,FUN_3
168,29028,FUN_2,FUN_3
185,15872,CUBE_R,FUN_6
187,22037,CUBE_L,FUN_1
189,6264,FUN_4,FUN_3
190,22316,FUN_3,FUN_4
199,27779,FUN_2,FUN_3
201,13560,FUN_3,FUN_4
203,20682,FUN_5,FUN_6
236,7742,CUBE_L,FUN_1
245,23094,FUN_3,FUN_2
262,8541,CUBE_R,RET
268,21042,FUN_2,FUN_3
273,28951,FUN_5,FUN_6
279,8536,RET,CUBE_L
279,11853,FUN_4,FUN_3
280,8877,CUBE_R,RET
286,1346,FUN_3,FUN_2
305,24082,RET,CUBE_L
305,25200,FUN_4,FUN_3
307,14287,FUN_3,FUN_4
310,15437,CUBE_L,FUN_1
316,456,RET,CUBE_R
323,25907,FUN_1,FUN_2
336,24564,FUN_5,FUN_6
340,2782,FUN_1,FUN_2
340,15965,FUN_5,FUN_4
378,15095,FUN_3,FUN_2
389,9282,FUN_6,CUBE_R
391,11063,RET,CUBE_R
399,7205,RET,CUBE_L
414,2004,FUN_2,FUN_3
424,281,FUN_2,FUN_3
462,28722,FUN_4,FUN_3
480,7647,FUN_3,FUN_4
485,17714,FUN_4,FUN_3
491,3480,FUN_2,FUN_1
495,26449,FUN_3,FUN_2
496,27459,FUN_1,FUN_2
510,8699,FUN_1,FUN_2
511,24909,FUN_2,FUN_3
524,10291,FUN_1,FUN_2
529,13450,FUN_2,FUN_1
545,6043,FUN_5,FUN_4
547,19853,FUN_1,FUN_2
548,561,FUN_1,FUN_2
548,5910,FUN_3,FUN_2
551,14469,FUN_3,FUN_2
559,2925,FUN_1,FUN_2
565,14667,FUN_2,FUN_3
566,5319,RET,CUBE_R
573,27156,FUN_2,FUN_1
575,16165,FUN_1,FUN_2
577,29952,FUN_1,FUN_2
579,20348,FUN_2,FUN_3
587,7455,CUBE_R,FUN_6
595,3618,FUN_4,FUN_5
