step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
1000,12550,12485,197,620,1462,443,292,192,1759
2000,12552,12489,189,622,1460,450,291,190,1757
3000,12550,12494,186,627,1459,445,294,187,1758
4000,12555,12492,188,619,1462,440,300,189,1755
5000,12557,12493,191,619,1461,442,299,188,1750
6000,12559,12495,193,624,1451,440,306,187,1745
7000,12556,12499,196,616,1453,443,310,186,1741
8000,12559,12499,200,620,1446,442,312,190,1732
9000,12561,12498,202,622,1442,441,312,190,1732
10000,12558,12500,209,615,1444,442,311,191,1730
11000,12558,12501,213,608,1449,441,309,193,1728
12000,12558,12506,207,620,1448,435,310,194,1722
13000,12562,12506,206,617,1448,437,304,200,1720
14000,12561,12505,200,621,1445,443,300,202,1723
15000,12564,12503,205,609,1463,440,285,209,1722
16000,12563,12498,211,616,1446,443,287,213,1723
17000,12558,12496,216,603,1454,450,287,212,1724
18000,12558,12496,212,618,1444,449,289,212,1722
19000,12562,12494,210,629,1434,443,296,214,1718
20000,12559,12495,216,626,1425,446,299,214,1720
21000,12560,12493,218,614,1438,449,292,214,1722
22000,12560,12488,220,618,1434,447,294,215,1724
23000,12556,12489,218,621,1436,451,293,209,1727
24000,12554,12490,211,622,1442,454,289,208,1730
25000,12554,12494,213,623,1433,461,287,206,1729
26000,12554,12491,214,616,1436,468,285,206,1730
27000,12550,12484,211,623,1435,463,288,209,1737
28000,12549,12485,213,631,1428,461,293,204,1736
29000,12548,12491,211,629,1438,455,292,202,1734
30000,12547,12492,216,625,1442,452,295,200,1731
