step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
3000,12552,12496,193,624,1456,448,289,189,1753
4000,12556,12497,188,617,1460,450,294,186,1752
5000,12550,12495,184,620,1461,451,293,190,1756
6000,12545,12493,184,626,1458,447,294,195,1758
7000,12539,12490,188,629,1447,450,294,199,1764
8000,12534,12489,183,625,1457,450,295,201,1766
9000,12533,12486,185,627,1450,457,289,205,1768
10000,12523,12486,190,629,1444,459,289,208,1772
11000,12517,12484,186,636,1441,457,293,206,1780
12000,12513,12480,186,631,1447,457,293,210,1783
13000,12513,12472,178,640,1448,457,290,213,1789
14000,12504,12469,179,643,1447,455,291,217,1795
15000,12504,12464,172,644,1455,453,291,220,1797
16000,12494,12466,171,654,1450,451,292,219,1803
17000,12494,12462,163,655,1458,448,294,222,1804
18000,12491,12458,164,657,1458,449,289,230,1804
19000,12492,12454,166,652,1466,445,290,232,1803
20000,12489,12443,162,654,1472,439,289,241,1811
21000,12489,12440,159,648,1478,439,293,237,1817
22000,12484,12440,159,645,1480,441,294,238,1819
23000,12474,12433,162,636,1488,443,293,240,1831
24000,12471,12430,160,640,1488,443,294,240,1834
25000,12470,12425,161,635,1496,439,293,243,1838
26000,12466,12426,161,640,1500,431,295,242,1839
27000,12461,12421,162,645,1498,432,294,243,1844
28000,12457,12423,163,648,1494,437,291,243,1844
29000,12452,12422,165,643,1504,436,288,240,1850
30000,12451,12414,163,644,1505,438,286,244,1855
