step,particle_id,from,to
2663,19558,FUN_2,FUN_3
2668,22077,RET,CUBE_R
2681,7790,FUN_3,FUN_2
2707,22928,FUN_3,FUN_2
2729,20445,FUN_2,FUN_3
2734,27719,FUN_3,FUN_4
2749,25965,CUBE_R,FUN_6
2755,5066,CUBE_R,FUN_6
2763,25226,FUN_3,FUN_2
2764,27048,FUN_3,FUN_2
2767,18686,FUN_1,FUN_2
2773,11144,FUN_2,FUN_1
2779,6478,FUN_3,FUN_2
2782,17300,FUN_3,FUN_2
2792,25184,FUN_2,FUN_3
2803,12071,FUN_3,FUN_2
2807,5425,FUN_4,FUN_3
2827,24636,FUN_1,CUBE_L
2829,1908,FUN_3,FUN_4
2845,29928,FUN_4,FUN_3
2858,5665,RET,CUBE_R
2862,3495,FUN_3,FUN_2
2864,6365,RET,CUBE_R
2864,21396,RET,CUBE_R
2883,10150,FUN_6,CUBE_R
2897,11767,FUN_4,FUN_5
2927,5083,FUN_3,FUN_2
2929,20645,FUN_2,FUN_1
2935,27266,CUBE_R,FUN_6
2960,19860,FUN_1,FUN_2
2965,19395,FUN_2,FUN_1
2972,28783,FUN_3,FUN_4
2975,26431,FUN_4,FUN_3
2985,7084,FUN_3,FUN_2
2987,27415,FUN_2,FUN_1
2994,560,FUN_4,FUN_5
2994,20148,FUN_1,FUN_2
2999,24066,FUN_2,FUN_3
3006,5214,FUN_4,FUN_3
3037,2941,CUBE_L,RET
3046,21123,FUN_1,FUN_2
3050,19780,FUN_3,FUN_4
3054,19600,FUN_6,FUN_5
3061,10066,FUN_2,FUN_3
3071,28634,FUN_6,FUN_5
3084,17584,FUN_3,FUN_2
3084,25225,FUN_3,FUN_4
3097,7403,RET,CUBE_L
3101,10851,FUN_3,FUN_2
3116,27755,FUN_1,FUN_2
3130,21308,FUN_6,CUBE_R
3135,19671,FUN_2,FUN_3
3143,26908,FUN_3,FUN_4
3144,23435,CUBE_R,RET
3176,1543,FUN_6,FUN_5
3185,16417,CUBE_L,RET
3212,4594,FUN_1,FUN_2
3219,17244,FUN_1,CUBE_L
3222,3140,FUN_5,FUN_4
3233,7101,FUN_2,FUN_3
3254,21880,CUBE_L,RET
3275,1459,FUN_3,FUN_4
3279,11242,FUN_2,FUN_1
3312,14552,FUN_2,FUN_3
3318,3378,FUN_2,FUN_3
3318,5841,FUN_1,FUN_2
3319,1493,RET,CUBE_L
3324,9631,FUN_5,FUN_6
3327,11451,RET,CUBE_L
3329,26185,FUN_2,FUN_1
3334,15377,FUN_3,FUN_2
3334,18816,FUN_3,FUN_4
3341,29804,FUN_2,FUN_3
3342,15149,FUN_3,FUN_4
3345,26548,FUN_2,FUN_3
3370,16894,FUN_2,FUN_3
3374,25891,FUN_5,FUN_4
3385,1960,CUBE_L,RET
3404,7790,FUN_2,FUN_3
3408,27048,FUN_2,FUN_3
3411,503,FUN_3,FUN_2
3422,19200,FUN_3,FUN_2
3423,29731,FUN_2,FUN_1
3447,18317,RET,CUBE_L
3450,19566,FUN_1,FUN_2
3452,9112,FUN_4,FUN_5
3455,24946,CUBE_R,FUN_6
3472,19487,FUN_1,FUN_2
3477,8214,FUN_2,FUN_3
3480,544,RET,CUBE_R
3489,888,RET,CUBE_L
3514,26239,FUN_6,CUBE_R
3523,15317,FUN_6,CUBE_R
3536,3906,FUN_3,FUN_4
3564,26348,FUN_3,FUN_4
3576,26646,RET,CUBE_R
3606,2899,CUBE_R,RET
3617,19144,FUN_4,FUN_3
3629,1491,FUN_3,FUN_4
3647,24009,FUN_2,FUN_1
3654,5242,FUN_3,FUN_4
3676,25705,FUN_2,FUN_3
3681,4813,FUN_2,FUN_1
3685,879,FUN_5,FUN_6
3698,2481,FUN_4,FUN_5
3715,10310,FUN_1,FUN_2
3723,28247,FUN_2,FUN_3
3726,13690,RET,CUBE_L
3729,15223,FUN_4,FUN_3
3731,20535,FUN_2,FUN_3
3737,26266,FUN_4,FUN_3
3768,6930,CUBE_R,RET
3779,1098,FUN_2,FUN_1
3784,12223,FUN_5,FUN_6
3785,15431,FUN_1,FUN_2
3786,7922,FUN_3,FUN_2
3805,2625,FUN_4,FUN_5
3813,13759,FUN_4,FUN_5
3818,15285,FUN_1,FUN_2
3831,23596,FUN_2,FUN_3
3848,22040,FUN_1,FUN_2
3873,1008,FUN_1,FUN_2
3882,17584,FUN_2,FUN_3
3892,2455,FUN_4,FUN_5
3912,28767,FUN_2,FUN_1
3930,10673,FUN_2,FUN_1
3936,3100,FUN_6,CUBE_R
3941,11770,FUN_4,FUN_5
3955,26718,FUN_3,FUN_4
3967,9878,RET,CUBE_L
3980,13181,FUN_1,FUN_2
3983,28832,FUN_2,FUN_3
3997,18322,FUN_4,FUN_5
3997,27347,CUBE_R,RET
4001,18411,FUN_3,FUN_4
4002,18050,FUN_2,FUN_3
4011,16731,FUN_2,FUN_3
