step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
10000,12553,12488,186,620,1468,451,299,179,1756
20000,12541,12471,173,642,1452,464,296,193,1768
30000,12531,12471,196,628,1450,463,302,191,1768
40000,12523,12453,196,631,1439,475,304,190,1789
50000,12524,12461,187,636,1450,470,304,183,1785
60000,12508,12447,176,658,1434,481,299,198,1799
70000,12507,12438,175,632,1449,475,315,203,1806
80000,12509,12432,170,629,1464,473,312,197,1814
90000,12499,12431,180,628,1457,470,317,194,1824
100000,12501,12427,190,620,1452,480,303,206,1821
110000,12495,12425,189,616,1464,480,305,198,1828
120000,12492,12429,201,595,1481,488,297,200,1817
130000,12484,12428,204,603,1473,485,303,201,1819
140000,12485,12423,207,616,1466,477,302,201,1823
150000,12487,12422,197,603,1477,485,306,204,1819
160000,12480,12427,203,603,1477,490,297,203,1820
170000,12483,12427,197,595,1499,483,292,214,1810
180000,12470,12427,206,596,1488,484,293,214,1822
190000,12456,12421,203,613,1484,482,292,218,1831
200000,12454,12413,198,611,1483,492,289,220,1840
210000,12449,12414,195,606,1495,485,288,227,1841
220000,12474,12418,179,612,1499,486,288,220,1824
230000,12465,12417,190,616,1497,486,281,218,1830
240000,12479,12411,178,619,1491,490,284,223,1825
250000,12481,12418,178,602,1503,489,286,221,1822
260000,12483,12418,177,612,1499,485,289,219,1818
