step,particle_id,from,to
3,28736,FUN_2,FUN_3
20,16655,FUN_5,FUN_4
26,28819,FUN_4,FUN_5
27,11578,FUN_2,FUN_3
52,1874,CUBE_L,RET
63,13527,FUN_4,FUN_3
78,23533,FUN_1,CUBE_L
82,6175,FUN_2,FUN_3
86,26083,CUBE_R,FUN_6
94,6123,CUBE_L,FUN_1
107,27779,FUN_2,FUN_3
117,18495,FUN_2,FUN_3
119,15872,CUBE_R,FUN_6
128,5629,FUN_1,FUN_2
128,21105,FUN_4,FUN_5
137,2133,FUN_4,FUN_5
137,6873,RET,CUBE_R
143,2004,FUN_2,FUN_3
146,29028,FUN_2,FUN_3
157,21933,FUN_6,FUN_5
178,24057,FUN_2,FUN_1
184,8378,FUN_4,FUN_5
191,22037,CUBE_L,FUN_1
195,22316,FUN_3,FUN_4
196,20682,FUN_5,FUN_6
206,24564,FUN_5,FUN_6
209,14022,FUN_3,FUN_2
211,21042,FUN_2,FUN_3
218,24057,FUN_1,FUN_2
228,16655,FUN_4,FUN_5
234,1346,FUN_3,FUN_2
238,16173,FUN_2,FUN_1
247,8536,RET,CUBE_L
254,23094,FUN_3,FUN_2
281,15437,CUBE_L,FUN_1
285,6873,CUBE_R,RET
287,15095,FUN_3,FUN_2
296,14287,FUN_3,FUN_4
321,5694,FUN_3,FUN_4
326,8699,FUN_1,FUN_2
330,15965,FUN_5,FUN_4
331,24044,FUN_2,FUN_1
338,11853,FUN_4,FUN_3
351,281,FUN_2,FUN_3
374,25907,FUN_1,FUN_2
396,3705,FUN_1,FUN_2
407,15156,FUN_6,FUN_5
415,456,RET,CUBE_R
422,17714,FUN_4,FUN_3
438,19853,FUN_1,FUN_2
448,13450,FUN_2,FUN_1
451,9282,FUN_6,CUBE_R
462,15437,FUN_1,CUBE_L
466,6873,RET,CUBE_R
467,6264,FUN_4,FUN_3
469,27459,FUN_1,FUN_2
470,10291,FUN_1,FUN_2
474,16589,FUN_3,FUN_4
479,5910,FUN_3,FUN_2
481,10286,FUN_5,FUN_4
482,20369,FUN_2,FUN_3
483,28819,FUN_5,FUN_4
491,24082,RET,CUBE_L
534,1566,FUN_3,FUN_2
537,21829,FUN_2,FUN_3
538,5694,FUN_4,FUN_3
538,19468,FUN_2,FUN_1
539,10291,FUN_2,FUN_1
541,25509,CUBE_R,RET
542,14287,FUN_4,FUN_3
543,21604,FUN_4,FUN_3
547,13822,FUN_1,FUN_2
549,20348,FUN_2,FUN_3
563,20391,FUN_1,CUBE_L
566,5910,FUN_2,FUN_3
579,7647,FUN_3,FUN_4
587,2398,FUN_2,FUN_3
611,25567,FUN_1,FUN_2
618,10291,FUN_1,FUN_2
625,16173,FUN_1,FUN_2
628,29952,FUN_1,FUN_2
631,29358,FUN_2,FUN_1
632,3705,FUN_2,FUN_1
635,29215,FUN_4,FUN_5
640,8834,FUN_3,FUN_2
646,23206,CUBE_R,RET
649,13560,FUN_3,FUN_4
651,21074,FUN_6,FUN_5
652,17996,RET,CUBE_L
656,27688,FUN_3,FUN_2
666,22458,FUN_3,FUN_2
667,10291,FUN_2,FUN_1
679,17763,FUN_2,FUN_1
688,5629,FUN_2,FUN_1
709,28391,FUN_3,FUN_4
715,14678,FUN_3,FUN_4
716,10077,FUN_6,FUN_5
716,16655,FUN_5,FUN_4
720,28951,FUN_5,FUN_6
727,7484,FUN_1,FUN_2
739,11747,RET,CUBE_L
755,8541,CUBE_R,RET
758,8918,FUN_1,FUN_2
764,1008,FUN_1,FUN_2
771,7742,CUBE_L,FUN_1
776,16655,FUN_4,FUN_5
783,28819,FUN_4,FUN_5
795,561,FUN_1,FUN_2
801,7912,FUN_1,FUN_2
807,4036,FUN_2,FUN_3
808,11563,FUN_2,FUN_3
850,7891,FUN_3,FUN_4
862,21933,FUN_5,FUN_6
870,22377,FUN_2,FUN_3
884,17714,FUN_3,FUN_4
884,26128,RET,CUBE_R
888,3480,FUN_2,FUN_1
891,15298,FUN_3,FUN_2
893,11184,FUN_5,FUN_6
906,17465,FUN_4,FUN_3
911,4892,RET,CUBE_L
928,29432,FUN_4,FUN_3
929,7455,CUBE_R,FUN_6
932,21440,FUN_4,FUN_3
941,16390,CUBE_R,RET
946,21449,FUN_3,FUN_4
951,14136,FUN_4,FUN_3
961,16718,FUN_1,FUN_2
962,22325,FUN_3,FUN_4
965,14287,FUN_3,FUN_4
986,14831,FUN_4,FUN_5
1009,6164,FUN_1,FUN_2
1024,3210,FUN_5,FUN_4
1029,26110,FUN_2,FUN_3
1042,26449,FUN_3,FUN_2
1044,16165,FUN_1,FUN_2
1045,23440,RET,CUBE_R
1047,14648,FUN_3,FUN_4
1048,3480,FUN_1,FUN_2
1052,8877,CUBE_R,RET
1058,25488,FUN_3,FUN_2
1085,27284,FUN_4,FUN_3
1112,21838,FUN_2,FUN_1
1120,11114,RET,CUBE_R
1127,14287,FUN_4,FUN_3
1129,5569,FUN_5,FUN_6
1134,6690,FUN_1,FUN_2
1150,28919,FUN_2,FUN_1
1154,28564,FUN_2,FUN_1
1155,6810,FUN_2,FUN_3
1155,26083,FUN_6,CUBE_R
1160,12326,FUN_3,FUN_4
1161,28083,FUN_3,FUN_4
1172,7455,FUN_6,CUBE_R
1186,28736,FUN_3,FUN_2
1187,15437,CUBE_L,FUN_1
1200,6944,FUN_2,FUN_1
1206,15536,FUN_2,FUN_3
1223,24909,FUN_2,FUN_3
1234,6553,FUN_2,FUN_1
1244,1238,CUBE_R,RET
1244,21933,FUN_6,FUN_5
1247,21668,CUBE_L,RET
1249,7622,CUBE_L,FUN_1
1259,23868,FUN_2,FUN_3
1268,2364,FUN_2,FUN_3
1274,3177,FUN_2,FUN_1
1294,13455,FUN_2,FUN_3
1296,21110,FUN_1,FUN_2
1297,23256,FUN_2,FUN_1
1300,25514,CUBE_L,RET
1304,18167,FUN_3,FUN_2
1306,24495,FUN_3,FUN_2
1330,13380,RET,CUBE_L
1332,20063,FUN_2,FUN_1
1338,21829,FUN_3,FUN_2
1338,26110,FUN_3,FUN_2
1342,1443,FUN_6,CUBE_R
1344,12161,FUN_2,FUN_3
1353,14965,FUN_3,FUN_2
1354,15027,FUN_1,FUN_2
1359,10686,FUN_2,FUN_3
1360,11767,FUN_4,FUN_5
1369,24636,FUN_1,CUBE_L
1409,19552,FUN_5,FUN_6
1420,20552,FUN_2,FUN_3
1434,28722,FUN_4,FUN_3
1440,10223,FUN_2,FUN_3
1483,26981,FUN_2,FUN_1
1487,26327,FUN_1,CUBE_L
1489,24909,FUN_3,FUN_2
1492,2133,FUN_5,FUN_4
1494,21802,FUN_3,FUN_2
1498,9247,FUN_6,CUBE_R
1499,11184,FUN_6,FUN_5
1518,7622,FUN_1,CUBE_L
1527,19515,FUN_3,FUN_4
1527,28606,FUN_2,FUN_1
1528,2025,CUBE_R,RET
1541,27688,FUN_2,FUN_3
1543,9676,FUN_4,FUN_5
1546,10310,FUN_1,FUN_2
1555,28919,FUN_1,FUN_2
1564,21406,FUN_1,FUN_2
1589,9637,FUN_6,CUBE_R
1603,9425,FUN_2,FUN_3
1604,15298,FUN_2,FUN_3
1635,22618,FUN_3,FUN_2
1642,28359,FUN_3,FUN_2
1646,15662,FUN_3,FUN_4
1646,16631,FUN_1,FUN_2
1667,7403,RET,CUBE_L
1676,10525,FUN_2,FUN_1
1694,8864,FUN_3,FUN_4
1701,15705,FUN_3,FUN_2
1713,7101,FUN_2,FUN_3
1730,2008,FUN_3,FUN_2
1735,24909,FUN_2,FUN_3
1736,1248,RET,CUBE_R
1764,24495,FUN_2,FUN_3
1769,19487,FUN_2,FUN_1
1787,14508,FUN_3,FUN_2
1819,11115,CUBE_R,FUN_6
1820,25509,RET,CUBE_R
1840,18187,CUBE_R,FUN_6
1844,10740,FUN_2,FUN_1
1863,16585,FUN_2,FUN_3
1874,19536,FUN_2,FUN_3
1878,19649,CUBE_L,FUN_1
1880,7390,FUN_1,FUN_2
1885,11063,RET,CUBE_R
1891,19466,FUN_2,FUN_3
1891,19536,FUN_3,FUN_2
1894,13513,FUN_1,FUN_2
1895,12471,FUN_3,FUN_4
1905,15424,FUN_4,FUN_5
1905,22037,FUN_1,CUBE_L
1910,13165,FUN_3,FUN_2
1925,27688,FUN_3,FUN_2
1926,15126,FUN_2,FUN_3
1933,26862,FUN_1,FUN_2
1934,19536,FUN_2,FUN_3
1951,11841,FUN_5,FUN_4
1978,19929,CUBE_L,RET
1989,26366,FUN_6,CUBE_R
2008,21218,CUBE_L,RET
2009,23755,FUN_5,FUN_4
2017,29358,FUN_1,FUN_2
2028,5007,FUN_2,FUN_1
2029,8834,FUN_2,FUN_3
2032,19476,RET,CUBE_R
2037,3144,FUN_2,FUN_3
2043,18627,CUBE_R,RET
2052,2434,FUN_3,FUN_2
2056,19144,FUN_4,FUN_3
2061,7371,FUN_1,FUN_2
2067,18223,CUBE_R,RET
2091,8378,FUN_5,FUN_4
2092,21449,FUN_4,FUN_3
2106,11283,FUN_5,FUN_6
2123,4542,FUN_2,FUN_3
2141,7084,FUN_3,FUN_2
2158,28247,FUN_3,FUN_2
2159,11747,CUBE_L,RET
2173,19536,FUN_3,FUN_2
2185,16655,FUN_5,FUN_4
2199,26414,FUN_5,FUN_6
2212,15401,CUBE_R,RET
2291,1491,FUN_3,FUN_4
2299,19340,FUN_2,FUN_3
2303,6690,FUN_2,FUN_1
2321,11523,FUN_5,FUN_6
2326,25442,FUN_1,FUN_2
2333,905,FUN_2,FUN_1
2343,22136,FUN_3,FUN_2
2353,21396,RET,CUBE_R
2394,15872,FUN_6,CUBE_R
2399,8958,FUN_2,FUN_3
2406,13146,FUN_3,FUN_2
2407,18149,FUN_2,FUN_3
2421,7474,FUN_1,FUN_2
2428,15027,FUN_2,FUN_1
2431,1852,FUN_6,CUBE_R
2454,8938,FUN_3,FUN_4
2454,10891,RET,CUBE_L
2466,13741,FUN_6,CUBE_R
2474,22037,CUBE_L,FUN_1
2483,29744,FUN_4,FUN_3
2488,26327,CUBE_L,FUN_1
2514,14287,FUN_3,FUN_4
2520,19196,CUBE_R,RET
2527,7349,FUN_3,FUN_4
2575,27086,FUN_4,FUN_3
2576,25226,FUN_3,FUN_2
2588,15947,FUN_4,FUN_5
2594,23945,FUN_4,FUN_5
2601,5448,FUN_2,FUN_3
2610,14454,FUN_3,FUN_4
2613,25912,FUN_5,FUN_4
2623,15773,FUN_3,FUN_2
2629,22037,FUN_1,CUBE_L
2633,17928,FUN_6,CUBE_R
2643,15823,FUN_2,FUN_1
2648,7455,CUBE_R,FUN_6
2652,26105,FUN_5,FUN_6
2661,4700,FUN_3,FUN_2
2670,6440,FUN_6,FUN_5
2673,16747,CUBE_R,FUN_6
2678,22302,FUN_1,FUN_2
2706,15459,RET,CUBE_R
2718,343,RET,CUBE_R
2718,1360,FUN_3,FUN_2
2720,11184,FUN_5,FUN_6
2724,22037,CUBE_L,FUN_1
2735,26036,FUN_6,CUBE_R
2749,26366,CUBE_R,FUN_6
2750,12569,FUN_6,FUN_5
2751,2899,CUBE_R,RET
2751,29251,FUN_2,FUN_3
2757,19354,CUBE_R,FUN_6
2761,26498,FUN_1,FUN_2
2762,28951,FUN_6,FUN_5
2765,8419,FUN_2,FUN_1
2766,20333,FUN_2,FUN_1
2781,19536,FUN_2,FUN_3
2789,10086,FUN_5,FUN_4
2795,27557,FUN_2,FUN_1
2796,11523,FUN_6,FUN_5
2801,27415,FUN_2,FUN_1
2841,18931,FUN_1,CUBE_L
2853,2211,FUN_1,FUN_2
2862,28634,FUN_6,FUN_5
2873,12871,FUN_2,FUN_1
2890,7349,FUN_4,FUN_3
2899,6690,FUN_1,FUN_2
2903,1098,FUN_2,FUN_1
2942,12505,FUN_2,FUN_3
2944,5629,FUN_1,FUN_2
2953,26110,FUN_2,FUN_3
2954,29358,FUN_2,FUN_1
2981,22037,FUN_1,CUBE_L
2983,24636,CUBE_L,FUN_1
2993,25475,FUN_2,FUN_1
3022,2005,FUN_3,FUN_2
3034,8302,FUN_6,CUBE_R
3040,9284,FUN_1,FUN_2
3043,13455,FUN_3,FUN_2
3052,21074,FUN_5,FUN_6
3054,29251,FUN_3,FUN_2
3075,5604,FUN_2,FUN_1
