step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
4000,12550,12493,201,617,1456,454,291,183,1755
5000,12558,12491,198,618,1460,450,289,189,1747
6000,12560,12496,194,620,1453,452,297,184,1744
7000,12554,12494,199,615,1455,452,296,183,1752
8000,12552,12492,190,620,1467,448,298,181,1752
9000,12552,12488,189,622,1466,450,297,178,1758
10000,12553,12488,186,620,1468,451,299,179,1756
11000,12547,12483,195,615,1467,449,302,180,1762
12000,12550,12480,192,624,1460,448,300,184,1762
13000,12548,12477,187,618,1468,453,298,187,1764
14000,12549,12470,193,618,1460,451,305,188,1766
15000,12543,12471,191,624,1458,452,302,190,1769
16000,12546,12477,180,633,1458,449,308,184,1765
17000,12548,12475,179,623,1468,451,303,185,1768
18000,12544,12470,184,627,1459,461,299,187,1769
19000,12546,12473,180,633,1457,459,296,193,1763
20000,12541,12471,173,642,1452,464,296,193,1768
21000,12542,12476,174,643,1447,464,299,190,1765
22000,12542,12477,175,642,1446,465,300,192,1761
23000,12539,12476,183,639,1446,465,297,193,1762
24000,12541,12477,187,639,1441,460,303,190,1762
25000,12539,12473,196,634,1441,458,302,194,1763
26000,12533,12469,197,626,1444,461,303,194,1773
27000,12536,12469,194,628,1441,463,302,196,1771
28000,12535,12472,197,616,1453,460,302,195,1770
29000,12533,12469,193,631,1448,462,300,196,1768
30000,12531,12471,196,628,1450,463,302,191,1768
