step,particle_id,from,to
3,28736,FUN_2,FUN_3
19,16655,FUN_5,FUN_4
27,28819,FUN_4,FUN_5
28,11578,FUN_2,FUN_3
59,26083,CUBE_R,FUN_6
64,1874,CUBE_L,RET
69,6175,FUN_2,FUN_3
71,6264,FUN_4,FUN_3
87,13527,FUN_4,FUN_3
97,23533,FUN_1,CUBE_L
98,18495,FUN_2,FUN_3
106,8378,FUN_4,FUN_5
113,28951,FUN_5,FUN_6
118,27779,FUN_2,FUN_3
126,14287,FUN_3,FUN_4
128,6873,RET,CUBE_R
131,2004,FUN_2,FUN_3
134,2133,FUN_4,FUN_5
137,21105,FUN_4,FUN_5
142,29028,FUN_2,FUN_3
150,5694,FUN_3,FUN_4
154,16718,FUN_1,FUN_2
171,22037,CUBE_L,FUN_1
174,21933,FUN_6,FUN_5
177,21829,FUN_2,FUN_3
180,2025,CUBE_R,RET
192,22316,FUN_3,FUN_4
209,6123,CUBE_L,FUN_1
212,13560,FUN_3,FUN_4
213,15437,CUBE_L,FUN_1
226,7742,CUBE_L,FUN_1
239,15965,FUN_5,FUN_4
246,20745,FUN_4,FUN_5
262,8536,RET,CUBE_L
264,1346,FUN_3,FUN_2
273,8877,CUBE_R,RET
280,20682,FUN_5,FUN_6
298,24082,RET,CUBE_L
312,26247,FUN_1,FUN_2
322,456,RET,CUBE_R
378,19853,FUN_1,FUN_2
391,2782,FUN_1,FUN_2
393,15095,FUN_3,FUN_2
401,9282,FUN_6,CUBE_R
424,26449,FUN_3,FUN_2
435,11853,FUN_4,FUN_3
437,23094,FUN_3,FUN_2
444,27156,FUN_2,FUN_1
445,19041,FUN_1,FUN_2
455,27156,FUN_1,FUN_2
456,4459,FUN_6,CUBE_R
459,17552,FUN_5,FUN_6
473,20348,FUN_2,FUN_3
498,561,FUN_1,FUN_2
