step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
1000,12550,12485,196,615,1467,445,292,191,1759
2000,12551,12490,193,614,1463,455,289,189,1756
3000,12547,12496,190,623,1461,446,292,187,1758
4000,12547,12496,190,618,1464,450,293,186,1756
5000,12548,12494,196,613,1468,447,291,193,1750
6000,12542,12493,196,612,1469,445,294,193,1756
7000,12539,12491,195,613,1470,442,295,198,1757
8000,12537,12487,189,617,1468,444,297,203,1758
9000,12536,12487,189,621,1468,446,296,199,1758
10000,12535,12482,185,620,1471,447,298,202,1760
11000,12537,12474,178,629,1464,452,298,204,1764
12000,12531,12475,174,635,1464,451,297,205,1768
13000,12528,12473,170,628,1475,451,300,204,1771
14000,12526,12472,170,632,1473,447,306,204,1770
15000,12524,12467,164,639,1470,449,307,206,1774
16000,12524,12466,158,642,1469,453,308,203,1777
17000,12523,12463,159,643,1467,456,308,202,1779
18000,12523,12462,156,642,1471,459,303,207,1777
19000,12524,12460,151,642,1473,461,300,208,1781
20000,12522,12459,150,640,1476,465,298,208,1782
21000,12526,12458,150,638,1475,467,301,204,1781
22000,12521,12460,153,635,1480,465,296,203,1787
23000,12519,12458,154,633,1483,466,294,204,1789
24000,12520,12457,153,630,1491,463,291,204,1791
25000,12522,12456,153,628,1498,461,290,203,1789
26000,12522,12452,158,627,1493,465,287,205,1791
27000,12522,12446,161,620,1499,465,290,201,1796
28000,12516,12451,158,617,1508,468,291,193,1798
29000,12515,12446,147,627,1507,470,291,193,1804
30000,12514,12447,150,622,1512,471,290,193,1801
