step,particle_id,from,to
3,28736,FUN_2,FUN_3
17,16655,FUN_5,FUN_4
25,28819,FUN_4,FUN_5
35,11578,FUN_2,FUN_3
54,1874,CUBE_L,RET
72,23533,FUN_1,CUBE_L
77,26083,CUBE_R,FUN_6
94,6175,FUN_2,FUN_3
104,6873,RET,CUBE_R
118,5694,FUN_3,FUN_4
119,18495,FUN_2,FUN_3
125,2133,FUN_4,FUN_5
126,6123,CUBE_L,FUN_1
126,21105,FUN_4,FUN_5
130,13527,FUN_4,FUN_3
138,8378,FUN_4,FUN_5
167,29028,FUN_2,FUN_3
176,22037,CUBE_L,FUN_1
178,27779,FUN_2,FUN_3
190,15872,CUBE_R,FUN_6
190,22316,FUN_3,FUN_4
195,20682,FUN_5,FUN_6
201,13560,FUN_3,FUN_4
217,6264,FUN_4,FUN_3
231,7742,CUBE_L,FUN_1
253,28951,FUN_5,FUN_6
255,8541,CUBE_R,RET
261,14287,FUN_3,FUN_4
261,21042,FUN_2,FUN_3
272,23094,FUN_3,FUN_2
281,1346,FUN_3,FUN_2
283,8877,CUBE_R,RET
285,11853,FUN_4,FUN_3
286,8536,RET,CUBE_L
298,24564,FUN_5,FUN_6
317,25200,FUN_4,FUN_3
318,456,RET,CUBE_R
320,24082,RET,CUBE_L
332,15965,FUN_5,FUN_4
333,11063,RET,CUBE_R
334,2782,FUN_1,FUN_2
357,15437,CUBE_L,FUN_1
362,25907,FUN_1,FUN_2
365,17714,FUN_4,FUN_3
366,26247,FUN_1,FUN_2
414,9282,FUN_6,CUBE_R
427,7205,RET,CUBE_L
452,15095,FUN_3,FUN_2
462,26449,FUN_3,FUN_2
481,281,FUN_2,FUN_3
513,27459,FUN_1,FUN_2
515,16165,FUN_1,FUN_2
516,20348,FUN_2,FUN_3
522,3480,FUN_2,FUN_1
524,13450,FUN_2,FUN_1
534,24909,FUN_2,FUN_3
538,5319,RET,CUBE_R
538,6043,FUN_5,FUN_4
539,7647,FUN_3,FUN_4
548,14469,FUN_3,FUN_2
549,10291,FUN_1,FUN_2
551,8699,FUN_1,FUN_2
552,29952,FUN_1,FUN_2
554,2925,FUN_1,FUN_2
557,27156,FUN_2,FUN_1
573,14136,FUN_4,FUN_3
580,28722,FUN_4,FUN_3
581,13822,FUN_1,FUN_2
595,12326,FUN_3,FUN_4
599,561,FUN_1,FUN_2
603,26110,FUN_2,FUN_3
611,22618,FUN_3,FUN_2
614,14667,FUN_2,FUN_3
622,20391,FUN_1,CUBE_L
624,3618,FUN_4,FUN_5
624,7455,CUBE_R,FUN_6
630,27156,FUN_1,FUN_2
636,19468,FUN_2,FUN_1
639,8838,FUN_1,CUBE_L
658,23206,CUBE_R,RET
672,7474,FUN_1,FUN_2
673,12387,CUBE_L,RET
674,2004,FUN_2,FUN_3
675,19853,FUN_1,FUN_2
677,28606,FUN_2,FUN_1
681,21110,FUN_1,FUN_2
698,21604,FUN_4,FUN_3
703,21074,FUN_6,FUN_5
720,10169,CUBE_L,RET
732,10077,FUN_6,FUN_5
734,17465,FUN_4,FUN_3
735,9294,CUBE_L,RET
740,7912,FUN_1,FUN_2
740,16718,FUN_1,FUN_2
754,25509,CUBE_R,RET
764,22458,FUN_3,FUN_2
788,17996,RET,CUBE_L
804,29432,FUN_4,FUN_3
807,17798,FUN_2,FUN_3
809,15947,FUN_4,FUN_5
810,14678,FUN_3,FUN_4
827,25036,CUBE_L,RET
831,11184,FUN_5,FUN_6
845,21449,FUN_3,FUN_4
851,987,FUN_2,FUN_1
857,16589,FUN_3,FUN_4
868,19487,FUN_2,FUN_1
869,29215,FUN_4,FUN_5
879,11563,FUN_2,FUN_3
901,2444,RET,CUBE_R
913,1566,FUN_3,FUN_2
915,24044,FUN_2,FUN_1
918,13476,CUBE_L,FUN_1
927,11584,FUN_4,FUN_5
949,10686,FUN_2,FUN_3
951,19536,FUN_2,FUN_3
953,20369,FUN_2,FUN_3
969,3210,FUN_5,FUN_4
969,6440,FUN_6,FUN_5
972,14223,CUBE_R,RET
992,13455,FUN_2,FUN_3
999,26128,RET,CUBE_R
1020,28410,RET,CUBE_R
1023,23440,RET,CUBE_R
1035,15298,FUN_3,FUN_2
1048,1443,FUN_6,CUBE_R
1049,2364,FUN_2,FUN_3
1066,1771,FUN_2,FUN_3
1067,2184,FUN_6,CUBE_R
1076,8417,FUN_4,FUN_3
1082,8669,FUN_4,FUN_5
1087,2716,FUN_2,FUN_1
1094,15411,RET,CUBE_R
1095,14454,FUN_3,FUN_4
1110,2396,FUN_3,FUN_4
1118,22325,FUN_3,FUN_4
1124,16390,CUBE_R,RET
1133,14508,FUN_3,FUN_2
1136,9265,FUN_2,FUN_3
1140,12578,FUN_5,FUN_6
1148,7484,FUN_1,FUN_2
1151,11114,RET,CUBE_R
1202,9425,FUN_2,FUN_3
1233,13380,RET,CUBE_L
1236,29956,FUN_3,FUN_4
1249,25488,FUN_3,FUN_2
1256,23945,FUN_4,FUN_5
1257,12161,FUN_2,FUN_3
1264,8521,FUN_3,FUN_2
1264,25442,FUN_1,FUN_2
1267,16631,FUN_1,FUN_2
1285,9994,CUBE_L,RET
1298,28391,FUN_3,FUN_4
1302,18207,FUN_3,FUN_4
1332,22458,FUN_2,FUN_3
1338,23236,FUN_3,FUN_4
1345,8419,FUN_2,FUN_1
1350,18223,CUBE_R,RET
1363,19650,FUN_6,FUN_5
1374,2008,FUN_3,FUN_2
1392,9335,FUN_5,FUN_4
1394,19549,FUN_5,FUN_4
1410,24653,FUN_5,FUN_4
1411,2250,CUBE_L,RET
1425,25701,FUN_3,FUN_2
1427,26327,FUN_1,CUBE_L
1428,10286,FUN_5,FUN_4
1446,24495,FUN_3,FUN_2
1458,6460,FUN_2,FUN_1
1463,23452,FUN_3,FUN_4
1475,28636,FUN_1,FUN_2
1479,1113,FUN_1,FUN_2
1530,26981,FUN_2,FUN_1
