step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
10000,12555,12505,175,645,1450,454,289,181,1746
20000,12560,12495,172,646,1444,446,308,181,1748
30000,12562,12494,169,659,1413,467,305,180,1751
40000,12560,12506,167,656,1428,463,297,175,1748
50000,12547,12495,182,638,1436,461,303,173,1765
60000,12541,12484,200,640,1426,449,305,180,1775
70000,12550,12484,178,646,1435,459,288,200,1760
80000,12551,12460,181,647,1432,467,289,200,1773
90000,12557,12466,181,646,1429,457,300,193,1771
100000,12553,12465,173,655,1435,455,292,200,1772
110000,12548,12471,186,635,1440,464,295,198,1763
120000,12547,12464,191,635,1439,454,296,208,1766
130000,12544,12464,198,629,1429,460,300,204,1772
140000,12550,12471,201,619,1440,451,315,196,1757
150000,12549,12463,204,616,1435,467,297,205,1764
160000,12551,12475,212,587,1453,460,309,197,1756
170000,12555,12475,213,594,1439,454,321,189,1760
180000,12554,12474,207,596,1439,458,322,194,1756
190000,12557,12474,214,606,1421,466,311,195,1756
200000,12553,12476,208,609,1428,471,308,190,1757
210000,12556,12455,206,608,1437,459,306,212,1761
220000,12554,12470,203,606,1427,477,300,200,1763
230000,12561,12467,200,614,1423,469,308,202,1756
240000,12554,12470,217,595,1418,492,293,208,1753
250000,12562,12459,212,593,1421,491,304,202,1756
260000,12556,12455,223,586,1408,495,313,196,1768
270000,12539,12445,230,575,1422,495,303,209,1782
280000,12545,12445,234,581,1412,496,309,192,1786
290000,12540,12448,226,597,1397,495,312,191,1794
300000,12541,12437,214,595,1431,482,306,198,1796
