step,particle_id,from,to
3,28736,FUN_2,FUN_3
23,11578,FUN_2,FUN_3
29,16655,FUN_5,FUN_4
34,28819,FUN_4,FUN_5
39,16655,FUN_4,FUN_5
66,26083,CUBE_R,FUN_6
68,1874,CUBE_L,RET
72,23533,FUN_1,CUBE_L
77,13527,FUN_4,FUN_3
91,27779,FUN_2,FUN_3
92,6873,RET,CUBE_R
93,15872,CUBE_R,FUN_6
96,6123,CUBE_L,FUN_1
102,18495,FUN_2,FUN_3
116,6175,FUN_2,FUN_3
126,2133,FUN_4,FUN_5
137,29028,FUN_2,FUN_3
145,21105,FUN_4,FUN_5
152,8378,FUN_4,FUN_5
158,28736,FUN_3,FUN_2
165,20682,FUN_5,FUN_6
180,13560,FUN_3,FUN_4
185,6264,FUN_4,FUN_3
186,22037,CUBE_L,FUN_1
193,22316,FUN_3,FUN_4
198,15437,CUBE_L,FUN_1
231,8877,CUBE_R,RET
254,2004,FUN_2,FUN_3
266,18149,FUN_2,FUN_3
268,11853,FUN_4,FUN_3
278,24564,FUN_5,FUN_6
278,25200,FUN_4,FUN_3
293,24057,FUN_2,FUN_1
301,26169,FUN_4,FUN_3
307,2184,FUN_6,CUBE_R
311,8541,CUBE_R,RET
313,24082,RET,CUBE_L
318,25907,FUN_1,FUN_2
329,28951,FUN_5,FUN_6
341,281,FUN_2,FUN_3
348,7205,RET,CUBE_L
356,6944,FUN_2,FUN_1
364,19041,FUN_1,FUN_2
365,14266,FUN_5,FUN_6
370,9282,FUN_6,CUBE_R
377,17714,FUN_4,FUN_3
380,5629,FUN_1,FUN_2
384,7647,FUN_3,FUN_4
399,15095,FUN_3,FUN_2
404,14022,FUN_3,FUN_2
412,4459,FUN_6,CUBE_R
428,11063,RET,CUBE_R
434,10291,FUN_1,FUN_2
437,14469,FUN_3,FUN_2
449,14667,FUN_2,FUN_3
454,24909,FUN_2,FUN_3
467,26110,FUN_2,FUN_3
480,14454,FUN_3,FUN_4
493,8536,RET,CUBE_L
495,16165,FUN_1,FUN_2
499,24057,FUN_1,FUN_2
500,15965,FUN_5,FUN_4
501,3480,FUN_2,FUN_1
507,456,RET,CUBE_R
530,2003,FUN_6,FUN_5
531,20348,FUN_2,FUN_3
537,8834,FUN_3,FUN_2
542,7474,FUN_1,FUN_2
574,7912,FUN_1,FUN_2
582,12387,CUBE_L,RET
587,561,FUN_1,FUN_2
590,14266,FUN_6,FUN_5
593,5910,FUN_3,FUN_2
601,26449,FUN_3,FUN_2
609,8699,FUN_1,FUN_2
609,15705,FUN_3,FUN_2
620,20391,FUN_1,CUBE_L
631,14136,FUN_4,FUN_3
652,23206,CUBE_R,RET
660,29215,FUN_4,FUN_5
671,16589,FUN_3,FUN_4
675,29242,FUN_4,FUN_3
684,26247,FUN_1,FUN_2
690,17465,FUN_4,FUN_3
694,2925,FUN_1,FUN_2
695,13711,FUN_5,FUN_4
703,25442,FUN_1,FUN_2
716,27156,FUN_2,FUN_1
719,27156,FUN_1,FUN_2
725,26862,FUN_1,FUN_2
729,13741,FUN_6,CUBE_R
751,14287,FUN_3,FUN_4
751,15872,FUN_6,CUBE_R
751,28722,FUN_4,FUN_3
752,2444,RET,CUBE_R
754,24495,FUN_3,FUN_2
763,14831,FUN_4,FUN_5
816,9994,CUBE_L,RET
818,11584,FUN_4,FUN_5
828,20415,FUN_2,FUN_3
835,8918,FUN_1,FUN_2
840,21225,FUN_6,FUN_5
861,11184,FUN_5,FUN_6
873,10686,FUN_2,FUN_3
879,19566,FUN_1,FUN_2
894,24798,RET,CUBE_R
915,9335,FUN_5,FUN_4
916,13450,FUN_2,FUN_1
936,1771,FUN_2,FUN_3
937,8838,FUN_1,CUBE_L
938,6873,CUBE_R,RET
939,14831,FUN_5,FUN_4
949,1566,FUN_3,FUN_2
955,3618,FUN_4,FUN_5
962,21440,FUN_4,FUN_3
968,13822,FUN_1,FUN_2
979,11853,FUN_3,FUN_4
990,14223,CUBE_R,RET
1002,28541,FUN_3,FUN_2
1006,28606,FUN_2,FUN_1
1012,27156,FUN_2,FUN_1
1034,23030,FUN_3,FUN_4
1037,8918,FUN_2,FUN_1
1070,987,FUN_2,FUN_1
1070,20410,FUN_1,CUBE_L
1079,11563,FUN_2,FUN_3
1081,15536,FUN_2,FUN_3
1081,25567,FUN_1,FUN_2
1086,14136,FUN_3,FUN_4
1098,6164,FUN_1,FUN_2
1099,20369,FUN_2,FUN_3
1112,20158,CUBE_R,RET
1114,26520,FUN_4,FUN_3
1120,15536,FUN_3,FUN_2
1121,560,FUN_4,FUN_5
1136,21298,FUN_3,FUN_2
1138,5448,FUN_2,FUN_3
1148,5065,FUN_2,FUN_1
1148,21604,FUN_4,FUN_3
1152,24495,FUN_2,FUN_3
1158,21449,FUN_3,FUN_4
1161,15480,FUN_5,FUN_4
1162,11747,RET,CUBE_L
1162,18317,RET,CUBE_L
1165,7647,FUN_4,FUN_3
1166,10085,FUN_3,FUN_2
1175,22316,FUN_4,FUN_3
1182,2716,FUN_2,FUN_1
1192,26498,FUN_1,FUN_2
1199,15298,FUN_3,FUN_2
1207,2364,FUN_2,FUN_3
1229,2398,FUN_2,FUN_3
1238,213,FUN_6,CUBE_R
1253,20233,FUN_2,FUN_3
1268,7371,FUN_1,FUN_2
1310,7716,RET,CUBE_R
1318,29358,FUN_2,FUN_1
1329,16062,FUN_3,FUN_2
1344,25323,CUBE_L,RET
1345,2004,FUN_3,FUN_2
1346,19487,FUN_2,FUN_1
1364,26642,FUN_3,FUN_2
1374,9196,FUN_3,FUN_4
1381,10223,FUN_2,FUN_3
1391,20348,FUN_3,FUN_2
1407,12326,FUN_3,FUN_4
1411,7167,FUN_4,FUN_5
1425,8131,FUN_3,FUN_2
1425,14648,FUN_3,FUN_4
1428,23236,FUN_3,FUN_4
1431,10240,RET,CUBE_L
1432,6703,FUN_1,CUBE_L
1432,7536,RET,CUBE_R
1447,20415,FUN_3,FUN_2
1448,29952,FUN_1,FUN_2
1453,15632,FUN_6,CUBE_R
1459,28083,FUN_3,FUN_4
1462,7349,FUN_3,FUN_4
1462,7484,FUN_1,FUN_2
1462,20719,FUN_6,FUN_5
1465,26110,FUN_3,FUN_2
1483,19990,FUN_4,FUN_5
1491,20333,FUN_2,FUN_1
1493,23440,RET,CUBE_R
1511,25701,FUN_3,FUN_2
1516,20807,FUN_2,FUN_1
1529,9294,CUBE_L,RET
1540,11184,FUN_6,FUN_5
1546,456,CUBE_R,RET
