step,CUBE_L,CUBE_R,FUN_1,FUN_2,FUN_3,FUN_4,FUN_5,FUN_6,RET
0,12553,12486,203,617,1455,450,289,188,1759
10000,12560,12492,188,620,1464,443,306,180,1747
20000,12548,12488,191,622,1452,463,290,190,1756
30000,12538,12496,197,636,1437,455,308,174,1759
40000,12536,12495,189,635,1437,470,306,172,1760
50000,12549,12482,193,631,1442,466,308,169,1760
60000,12548,12481,177,632,1445,479,305,173,1760
70000,12543,12491,186,640,1444,462,307,170,1757
80000,12537,12475,197,615,1459,479,287,185,1766
90000,12538,12468,196,623,1454,469,299,183,1770
100000,12533,12460,196,626,1453,478,296,185,1773
110000,12535,12458,206,612,1469,464,294,191,1771
120000,12530,12459,187,641,1443,483,284,200,1773
130000,12526,12458,185,651,1445,471,288,199,1777
140000,12522,12450,187,633,1475,461,279,211,1782
150000,12529,12456,183,627,1472,463,287,203,1780
160000,12523,12453,196,614,1478,461,294,198,1783
170000,12530,12442,202,611,1480,458,297,200,1780
180000,12527,12447,213,603,1466,464,299,198,1783
190000,12527,12438,210,616,1459,448,314,200,1788
200000,12531,12430,209,613,1452,469,287,218,1791
210000,12528,12434,201,625,1459,453,289,216,1795
220000,12516,12423,207,622,1450,463,292,218,1809
230000,12515,12423,223,594,1467,459,300,208,1811
240000,12511,12445,222,607,1451,465,302,195,1802
250000,12516,12440,216,617,1438,473,301,198,1801
260000,12510,12439,223,599,1456,456,311,195,1811
270000,12500,12441,235,606,1446,453,312,198,1809
280000,12497,12434,244,612,1421,467,314,193,1818
290000,12495,12430,235,613,1435,467,307,194,1824
300000,12492,12448,223,617,1447,457,318,187,1811
