step,particle_id,from,to
3,28736,FUN_2,FUN_3
21,16655,FUN_5,FUN_4
26,28819,FUN_4,FUN_5
27,11578,FUN_2,FUN_3
52,1874,CUBE_L,RET
52,26083,CUBE_R,FUN_6
54,26247,FUN_1,FUN_2
75,6264,FUN_4,FUN_3
77,16655,FUN_4,FUN_5
79,5694,FUN_3,FUN_4
93,6175,FUN_2,FUN_3
95,23533,FUN_1,CUBE_L
98,13527,FUN_4,FUN_3
104,24057,FUN_2,FUN_1
112,18495,FUN_2,FUN_3
115,27779,FUN_2,FUN_3
126,21105,FUN_4,FUN_5
141,13560,FUN_3,FUN_4
160,26169,FUN_4,FUN_3
161,6123,CUBE_L,FUN_1
166,2004,FUN_2,FUN_3
180,281,FUN_2,FUN_3
193,14287,FUN_3,FUN_4
195,5910,FUN_3,FUN_2
202,22316,FUN_3,FUN_4
206,24564,FUN_5,FUN_6
208,16655,FUN_5,FUN_4
211,23094,FUN_3,FUN_2
214,13527,FUN_3,FUN_4
217,22037,CUBE_L,FUN_1
238,8541,CUBE_R,RET
244,7742,CUBE_L,FUN_1
246,25200,FUN_4,FUN_3
250,15872,CUBE_R,FUN_6
265,8877,CUBE_R,RET
273,2133,FUN_4,FUN_5
283,6873,RET,CUBE_R
283,24082,RET,CUBE_L
311,29028,FUN_2,FUN_3
319,7647,FUN_3,FUN_4
333,23533,CUBE_L,FUN_1
334,8378,FUN_4,FUN_5
341,2025,CUBE_R,RET
347,14454,FUN_3,FUN_4
364,20410,FUN_1,CUBE_L
378,14136,FUN_4,FUN_3
384,16165,FUN_1,FUN_2
385,21042,FUN_2,FUN_3
388,9282,FUN_6,CUBE_R
391,8834,FUN_3,FUN_2
401,15095,FUN_3,FUN_2
406,26110,FUN_2,FUN_3
407,456,RET,CUBE_R
409,25907,FUN_1,FUN_2
416,11853,FUN_4,FUN_3
426,13822,FUN_1,FUN_2
426,19041,FUN_1,FUN_2
429,8834,FUN_2,FUN_3
445,15965,FUN_5,FUN_4
489,25036,CUBE_L,RET
490,6164,FUN_1,FUN_2
493,20348,FUN_2,FUN_3
512,17714,FUN_4,FUN_3
519,8838,FUN_1,CUBE_L
519,14508,FUN_3,FUN_2
520,11063,RET,CUBE_R
528,561,FUN_1,FUN_2
528,26247,FUN_2,FUN_1
536,2184,FUN_6,CUBE_R
544,11210,FUN_3,FUN_4
548,9294,CUBE_L,RET
552,29952,FUN_1,FUN_2
555,20369,FUN_2,FUN_3
568,7474,FUN_1,FUN_2
579,10291,FUN_1,FUN_2
586,17714,FUN_3,FUN_4
591,10286,FUN_5,FUN_4
592,22618,FUN_3,FUN_2
594,15682,FUN_6,FUN_5
611,2782,FUN_1,FUN_2
613,6163,FUN_3,FUN_4
614,21298,FUN_3,FUN_2
619,20682,FUN_5,FUN_6
637,3480,FUN_2,FUN_1
642,3705,FUN_1,FUN_2
654,3210,FUN_5,FUN_4
655,27086,FUN_4,FUN_3
671,5310,FUN_2,FUN_1
711,6944,FUN_2,FUN_1
713,6696,FUN_2,FUN_3
735,10085,FUN_3,FUN_2
740,2133,FUN_5,FUN_4
761,21074,FUN_6,FUN_5
763,23236,FUN_3,FUN_4
771,27459,FUN_1,FUN_2
773,26128,RET,CUBE_R
778,18149,FUN_2,FUN_3
780,2925,FUN_1,FUN_2
785,12387,CUBE_L,RET
786,26862,FUN_1,FUN_2
789,21484,RET,CUBE_R
792,14626,FUN_2,FUN_1
804,6123,FUN_1,CUBE_L
813,824,FUN_4,FUN_5
822,7484,FUN_1,FUN_2
842,3480,FUN_1,FUN_2
852,29432,FUN_4,FUN_3
862,15947,FUN_4,FUN_5
880,10077,FUN_6,FUN_5
880,14831,FUN_4,FUN_5
880,15536,FUN_2,FUN_3
884,3144,FUN_2,FUN_3
888,7455,CUBE_R,FUN_6
899,21829,FUN_2,FUN_3
901,27415,FUN_2,FUN_1
902,2025,RET,CUBE_R
915,29215,FUN_4,FUN_5
922,13455,FUN_2,FUN_3
926,19650,FUN_6,FUN_5
926,20348,FUN_3,FUN_2
936,29028,FUN_3,FUN_2
939,28636,FUN_1,FUN_2
940,14022,FUN_3,FUN_2
954,14885,FUN_2,FUN_1
960,2716,FUN_2,FUN_1
963,5310,FUN_1,FUN_2
974,20537,FUN_3,FUN_2
980,15027,FUN_1,FUN_2
981,2133,FUN_4,FUN_5
987,10086,FUN_5,FUN_4
1000,25442,FUN_1,FUN_2
1016,5310,FUN_2,FUN_1
1020,11767,FUN_4,FUN_5
1037,11235,FUN_2,FUN_3
1045,7499,FUN_1,FUN_2
1045,20348,FUN_2,FUN_3
1048,10929,FUN_3,FUN_2
1057,1566,FUN_3,FUN_2
1062,17552,FUN_5,FUN_6
1065,7349,FUN_3,FUN_4
1068,26169,FUN_3,FUN_4
1071,17714,FUN_4,FUN_3
1078,8536,RET,CUBE_L
1081,14287,FUN_4,FUN_3
1096,28675,FUN_4,FUN_5
1108,26327,FUN_1,CUBE_L
1143,14678,FUN_3,FUN_4
1156,24909,FUN_2,FUN_3
1160,13476,CUBE_L,FUN_1
1160,20991,FUN_4,FUN_3
1162,8839,FUN_3,FUN_2
1166,9571,FUN_3,FUN_2
1166,19536,FUN_2,FUN_3
1173,20391,FUN_1,CUBE_L
1195,6440,FUN_6,FUN_5
1208,7084,FUN_3,FUN_2
1214,29744,FUN_4,FUN_3
1228,5319,RET,CUBE_R
1230,8958,FUN_2,FUN_3
1256,14329,FUN_2,FUN_1
1258,15298,FUN_3,FUN_2
1282,7912,FUN_1,FUN_2
1286,6873,CUBE_R,RET
1286,15027,FUN_2,FUN_1
1299,12161,FUN_2,FUN_3
1301,2659,FUN_4,FUN_5
1303,7536,RET,CUBE_R
1320,8419,FUN_2,FUN_1
1320,17714,FUN_3,FUN_4
1321,29242,FUN_4,FUN_3
1333,24054,FUN_4,FUN_5
1337,7455,FUN_6,CUBE_R
1359,2003,FUN_6,FUN_5
1371,8536,CUBE_L,RET
1372,15298,FUN_2,FUN_3
1376,15705,FUN_3,FUN_2
1385,23440,RET,CUBE_R
1389,9001,CUBE_L,RET
1412,6264,FUN_3,FUN_4
1424,17996,RET,CUBE_L
1474,23436,FUN_1,FUN_2
1486,10012,FUN_2,FUN_3
1501,28394,FUN_4,FUN_5
1507,25256,FUN_5,FUN_4
1513,29182,FUN_1,FUN_2
1519,23820,FUN_2,FUN_1
1519,28919,FUN_2,FUN_1
1520,2364,FUN_2,FUN_3
1526,8089,CUBE_R,FUN_6
1528,3177,FUN_2,FUN_1
1531,22842,FUN_1,FUN_2
1534,7522,RET,CUBE_R
1540,28819,FUN_5,FUN_4
1580,14648,FUN_3,FUN_4
1601,14454,FUN_4,FUN_3
1606,24066,FUN_2,FUN_3
1611,15437,CUBE_L,FUN_1
1626,15286,FUN_3,FUN_4
1630,11578,FUN_3,FUN_2
1639,3210,FUN_4,FUN_5
1642,25126,FUN_2,FUN_3
1643,2025,CUBE_R,RET
1643,21074,FUN_5,FUN_6
1647,2659,FUN_5,FUN_4
1651,10286,FUN_4,FUN_5
1681,3598,FUN_6,FUN_5
1693,6873,RET,CUBE_R
1710,3705,FUN_2,FUN_1
1725,20333,FUN_2,FUN_1
1726,11578,FUN_2,FUN_3
1732,8864,FUN_3,FUN_4
1733,13946,FUN_1,FUN_2
1758,11210,FUN_4,FUN_3
1774,25250,FUN_1,FUN_2
1777,23436,FUN_2,FUN_1
1780,14287,FUN_3,FUN_4
1796,26548,FUN_2,FUN_3
1829,6873,CUBE_R,RET
1831,20333,FUN_1,FUN_2
1837,26921,FUN_2,FUN_1
1860,2003,FUN_5,FUN_6
1873,5310,FUN_1,FUN_2
1878,25691,FUN_2,FUN_1
1881,20333,FUN_2,FUN_1
1893,27919,FUN_2,FUN_3
1895,13380,RET,CUBE_L
1896,12161,FUN_3,FUN_2
1903,23440,CUBE_R,RET
1905,6093,FUN_2,FUN_3
1907,57,FUN_4,FUN_3
1909,15947,FUN_5,FUN_4
1923,8701,FUN_4,FUN_5
1929,3501,FUN_4,FUN_3
1938,17714,FUN_4,FUN_3
1941,28606,FUN_2,FUN_1
1950,28394,FUN_5,FUN_4
1967,1595,FUN_6,FUN_5
1967,6180,FUN_2,FUN_3
1975,2660,FUN_3,FUN_2
1991,26520,FUN_4,FUN_3
2004,11403,RET,CUBE_R
2020,7371,FUN_1,FUN_2
2021,5860,FUN_5,FUN_4
2021,23436,FUN_1,FUN_2
2027,3618,FUN_4,FUN_5
2027,29858,FUN_3,FUN_4
2029,7084,FUN_2,FUN_3
2046,25256,FUN_4,FUN_5
2057,23945,FUN_4,FUN_5
2059,14626,FUN_1,FUN_2
2059,23768,FUN_2,FUN_3
2062,18931,FUN_1,CUBE_L
2066,7647,FUN_4,FUN_3
2072,6172,FUN_6,CUBE_R
2092,2247,FUN_5,FUN_6
2096,25230,CUBE_R,FUN_6
2100,9571,FUN_2,FUN_3
2100,29512,CUBE_R,FUN_6
2101,11747,RET,CUBE_L
2121,26921,FUN_1,FUN_2
2124,17798,FUN_2,FUN_3
2138,6264,FUN_4,FUN_3
2140,17996,CUBE_L,RET
2144,843,RET,CUBE_R
2148,7267,FUN_1,FUN_2
2148,24564,FUN_6,FUN_5
2154,22462,FUN_3,FUN_2
2156,17714,FUN_3,FUN_4
2162,9335,FUN_5,FUN_4
2171,21604,FUN_4,FUN_3
2174,754,FUN_1,FUN_2
2174,18686,FUN_1,FUN_2
2180,6690,FUN_1,FUN_2
2180,18167,FUN_3,FUN_2
2209,16383,FUN_3,FUN_2
2227,5860,FUN_4,FUN_5
2234,20298,FUN_2,FUN_3
2238,2008,FUN_3,FUN_2
2249,5310,FUN_2,FUN_1
2257,16723,FUN_3,FUN_2
2262,27536,FUN_3,FUN_2
2274,9425,FUN_2,FUN_3
2280,7004,FUN_5,FUN_4
2283,19401,FUN_3,FUN_2
2307,560,FUN_4,FUN_5
2312,28722,FUN_4,FUN_3
2315,29825,RET,CUBE_L
2332,26543,FUN_2,FUN_1
2341,2133,FUN_5,FUN_4
2358,16390,CUBE_R,RET
2373,17465,FUN_4,FUN_3
2388,8555,FUN_4,FUN_5
2399,15154,CUBE_L,RET
2401,22061,FUN_1,FUN_2
2403,11747,CUBE_L,RET
2413,11235,FUN_3,FUN_2
2427,6180,FUN_3,FUN_2
2441,6873,RET,CUBE_R
2452,29952,FUN_2,FUN_1
2455,25643,CUBE_R,RET
2462,4004,CUBE_L,RET
2472,22061,FUN_2,FUN_1
2486,16205,FUN_3,FUN_2
2505,6264,FUN_3,FUN_4
2506,19308,FUN_5,FUN_6
2507,16718,FUN_1,FUN_2
2513,8839,FUN_2,FUN_3
2516,26239,FUN_6,CUBE_R
2519,14756,FUN_5,FUN_4
2525,2440,RET,CUBE_L
2535,22797,FUN_2,FUN_3
2535,24798,RET,CUBE_R
2549,560,FUN_5,FUN_4
2568,5709,FUN_6,FUN_5
2576,23436,FUN_2,FUN_1
2579,17465,FUN_3,FUN_4
2595,19632,CUBE_L,RET
2604,25567,FUN_1,FUN_2
2618,1874,RET,CUBE_L
2635,879,FUN_5,FUN_6
2635,2716,FUN_1,FUN_2
2639,25643,RET,CUBE_R
2658,2275,FUN_3,FUN_2
2665,26247,FUN_1,FUN_2
2694,25230,FUN_6,CUBE_R
2697,28832,FUN_3,FUN_2
2707,19308,FUN_6,FUN_5
2725,17996,RET,CUBE_L
2729,16075,FUN_3,FUN_2
2729,19401,FUN_2,FUN_3
2732,2275,FUN_2,FUN_3
2735,10785,CUBE_R,RET
2735,21298,FUN_2,FUN_3
