sim,steps,transitions,J_loop,Rmax,sigma,verdict
loop_chambers_damped_hetero,10000,370,-4.1661e-03,5.208e-04,7.018e-05,echilibru
loop_chambers_damped_uniform,10000,370,-7.6982e-03,9.623e-04,2.416e-04,NESS
loop_chambers_elastic,10000,370,-7.9836e-03,9.980e-04,2.604e-04,NESS
loop_chambers_ou,20000,2230,+6.4995e-03,8.124e-04,1.476e-04,NESS
loop_chambers_ou_uniform,10000,358,-2.5960e-03,3.245e-04,2.415e-05,echilibru
loop_damped_hetero_ballistic,30000,2913,+2.4152e-02,3.019e-03,2.276e-03,NESS
loop_damped_uniform_ballistic,30000,3069,+2.0674e-02,2.584e-03,1.707e-03,NESS
loop_elastic_ballistic,30000,3315,+1.8289e-02,2.286e-03,1.319e-03,NESS
loop_maxwell_ballistic,30000,1797,+1.0300e-02,1.287e-03,4.264e-04,NESS
loop_maxwell_hetero_long,300000,22679,+3.2314e-03,4.039e-04,3.856e-05,echilibru
loop_maxwell_hetero_short,0,54,+2.8279e-01,3.535e-02,2.769e-01,NESS
loop_ou_hetero_ballistic,30000,2337,+1.9654e-02,2.457e-03,1.462e-03,NESS
loop_ou_hetero_long,300000,32093,-1.4070e-03,1.759e-04,7.257e-06,echilibru
loop_ou_uniform_long,300000,32326,+2.3138e-03,2.892e-04,1.941e-05,echilibru
